MatrixID,SpeciesAccepted,Authors,YearPublication
238497,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238498,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238499,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238500,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238501,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238502,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238503,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238504,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238505,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238506,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238507,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238508,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238509,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238510,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238511,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238512,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238513,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238514,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238515,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238516,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238517,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238518,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238519,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238520,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238521,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238522,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238523,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238524,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
238525,Daphne rodriguezii,Rodriguez-Perez; Traveset,2012
